algorithm,average_rank,mean_metric,median_metric,mean_runtime_sec
knn,2.433333333333333,0.4299615672271651,0.31823735059664837,1.2434601103886962
isolation_forest,3.191666666666667,0.3846542592075502,0.29799746941310884,0.756147705592836
lof,3.2583333333333333,0.3899785430564625,0.2959028347336199,1.2880196715394656
ik_density,3.7416666666666667,0.34468914829952974,0.28062364942379187,8.323170818062499
matrix_profile,4.025,0.3393230527698539,0.24259871430750385,1.2713569792142758
rolling_zscore,4.35,0.22900226052349673,0.10563700560733211,0.47126602912321686
