anomaly_ratio_bin,algorithm,auroc,auprc,vus_roc,vus_pr,vus_roc_approx,vus_pr_approx,runtime_sec,n,feature,length_bin,mean_anomaly_duration_bin,seasonality_proxy_bin,noise_proxy_bin
low,ik_density,0.695097107194857,0.09279627616837367,0.7063196721158486,0.22099339074184488,0.6742633551734938,0.2776427681453891,8.906750868726522,20,anomaly_ratio,,,,
low,isolation_forest,0.6872579872568615,0.06683472980219551,0.6851817931959517,0.16113600392062744,0.6510517958870018,0.20705173136890287,0.7624129978008568,20,anomaly_ratio,,,,
low,knn,0.8574547159938619,0.1619299743312156,0.8529724094249016,0.3381315289023657,0.8315731398951873,0.4357503341451537,1.284149639448151,20,anomaly_ratio,,,,
low,lof,0.776075650537964,0.14610463302989418,0.7836171202225106,0.2883567462654566,0.7594402175227073,0.3700206190694241,1.34879085207358,20,anomaly_ratio,,,,
low,matrix_profile,0.6256475157631787,0.12837925913810067,0.6939042244336542,0.2648333031741512,0.6648033350646885,0.32378698182292875,2.202249239687808,20,anomaly_ratio,,,,
low,rolling_zscore,0.6533740776262826,0.17375064983041583,0.7610148837528088,0.1422182081841495,0.49727763524696506,0.11160584909193624,0.45758121663238854,20,anomaly_ratio,,,,
medium,ik_density,0.5786769064128889,0.15955053081970064,0.69143467385458,0.43078743734646585,0.5978657606385429,0.45426491291152826,8.482712343847378,20,anomaly_ratio,,,,
medium,isolation_forest,0.6626866115978822,0.2440597089943824,0.7698003652782869,0.49661307768846863,0.697884129127197,0.5265931522003967,0.7908344042254611,20,anomaly_ratio,,,,
medium,knn,0.6674323025892811,0.20337367718835342,0.7681022074628676,0.4771001973815495,0.7069733706986693,0.5260071417407556,1.2439118228619919,20,anomaly_ratio,,,,
medium,lof,0.6325842949867919,0.13480993379617476,0.7631508191125441,0.4274226717000902,0.6889466092606265,0.4493667511306317,1.2653997229645029,20,anomaly_ratio,,,,
medium,matrix_profile,0.6187654333423838,0.15235230737328562,0.7423002943639492,0.4221388595913914,0.6555098382847008,0.4628416344848425,0.8199529896024614,20,anomaly_ratio,,,,
medium,rolling_zscore,0.6139406130095038,0.29895907637502117,0.686233854952731,0.3530213000869579,0.5239955055391431,0.3368797988005151,0.4806504083331674,20,anomaly_ratio,,,,
high,ik_density,0.623999314787553,0.3265684914104582,0.6580697450883257,0.3822866168102784,0.6475389118121053,0.4147271246619959,7.5800492416135965,20,anomaly_ratio,,,,
high,isolation_forest,0.7238947633656505,0.45309285550142586,0.733399490076234,0.49621369601355453,0.7291798386932913,0.5292376204021896,0.7151957147521898,20,anomaly_ratio,,,,
high,knn,0.6657022566054196,0.4249938573596196,0.6799793034938137,0.47465297539758006,0.6801290530285461,0.5036286780199606,1.2023188688559459,20,anomaly_ratio,,,,
high,lof,0.6447748801018808,0.3915782555617692,0.6926462514412248,0.45415621120384086,0.6632889032185011,0.45771306231423836,1.249868439580314,20,anomaly_ratio,,,,
high,matrix_profile,0.5296502575930813,0.2800185795872442,0.5667469746895631,0.3309969955440192,0.5425355181959549,0.3498934782428571,0.7918687083525583,20,anomaly_ratio,,,,
high,rolling_zscore,0.45159677306697643,0.16567059864491074,0.4965344580223882,0.19176727329938276,0.44780612092212735,0.20328490861851917,0.4755664624040946,20,anomaly_ratio,,,,
,ik_density,0.6325911094650997,0.19297176613284417,0.6852746970195848,0.34468914829952974,0.6398893425413806,0.38221160190630443,8.323170818062499,60,length,all,,,
,isolation_forest,0.6912797874067981,0.2546624314326679,0.7294605495168243,0.3846542592075502,0.6927052545691634,0.42096083465716305,0.756147705592836,60,length,all,,,
,knn,0.7301964250628542,0.26343250295972953,0.7670179734605276,0.4299615672271651,0.7395585212074676,0.48846205130195663,1.2434601103886962,60,length,all,,,
,lof,0.6844782752088788,0.22416427412927936,0.7464713969254265,0.3899785430564625,0.7038919100006117,0.4257001441714313,1.2880196715394656,60,length,all,,,
,matrix_profile,0.5913544022328813,0.18691671536621016,0.6676504978290555,0.3393230527698539,0.6209495638484481,0.37884069818354277,1.2713569792142758,60,length,all,,,
,rolling_zscore,0.572970487900921,0.2127934416167826,0.6479277322426427,0.22900226052349673,0.4896930872360785,0.2172568521703235,0.47126602912321686,60,length,all,,,
,ik_density,0.7272069745501116,0.07411647699159375,0.8294358594616866,0.42157175808386277,0.724726194528019,0.48005291522329696,8.176867637527176,20,mean_anomaly_duration,,low,,
,isolation_forest,0.7047865776154322,0.05536087188238711,0.7832522199699871,0.3655468493171238,0.6872133886699938,0.4048556143462445,0.7090868584346026,20,mean_anomaly_duration,,low,,
,knn,0.8235584532032021,0.10456324902903276,0.902284139768662,0.4919075917088082,0.8240404505542553,0.5846001567267443,1.0249954041093587,20,mean_anomaly_duration,,low,,
