ablation,ablation_value,algorithm,auroc,auprc,vus_roc,vus_pr,vus_roc_approx,vus_pr_approx,runtime_sec
normalization,raw,ik_density,0.5694631791127316,0.14679879785366398,0.6198949914387902,0.2151223086785361,0.5816195365771758,0.26085409245058405,2.403653541851478
normalization,raw,isolation_forest,0.7018401076406616,0.2906401763380155,0.7140313218180964,0.3383126343024448,0.7001583019049614,0.38856974907123254,0.26138205205400783
normalization,raw,knn,0.7256580972796743,0.29286303684274373,0.75676910169956,0.36814319280343666,0.7426038435672492,0.4377851472588444,0.19226726389024404
normalization,raw,lof,0.7291717994299121,0.2895824270259169,0.7652474061462509,0.3745846407148701,0.7451288615129225,0.42561381187573927,0.21015099990957722
normalization,raw,matrix_profile,0.5222177648959406,0.1432934475858227,0.5944603785146229,0.21092091274563585,0.5602980037123678,0.2790543628399098,0.14775581937283275
normalization,raw,rolling_zscore,0.4628275996431018,0.07545884125581016,0.5775243224803329,0.10861288421515401,0.4268006003805691,0.12751734096499137,0.10137011817035572
normalization,z_normalized,ik_density,0.6895473019191054,0.24328120973954195,0.7151705544516426,0.32650684092843024,0.6817903606031616,0.393101978593917,2.5120546181763834
normalization,z_normalized,isolation_forest,0.7006984812222754,0.29059413602180406,0.7129765431939488,0.33821598216486565,0.6996496430669484,0.3883305376535346,0.25722580899794895
normalization,z_normalized,knn,0.7314440681873836,0.29586636183084525,0.7638711329026696,0.3708705925015163,0.7481261681833627,0.4399764908388142,0.20156248251441863
normalization,z_normalized,lof,0.728746914034398,0.2894788346576382,0.7651656896998954,0.374511342055323,0.7449550280477234,0.4255069770857978,0.21843278136414782
normalization,z_normalized,matrix_profile,0.5252075895990722,0.1434026047442239,0.5965554962473173,0.21122649584934675,0.5626064043205411,0.27915949012814223,0.14796391319638735
normalization,z_normalized,rolling_zscore,0.4622690422064703,0.07501729666298412,0.5771231296106292,0.10831006110656062,0.4264410517794635,0.12731284385686464,0.1015332604680831
window_size,default_2pct,ik_density,0.6895473019191054,0.24328120973954195,0.7151705544516426,0.32650684092843024,0.6817903606031616,0.393101978593917,2.4480408573290333
window_size,default_2pct,isolation_forest,0.7006984812222754,0.29059413602180406,0.7129765431939488,0.33821598216486565,0.6996496430669484,0.3883305376535346,0.24720045477927968
window_size,default_2pct,knn,0.7314440681873836,0.29586636183084525,0.7638711329026696,0.3708705925015163,0.7481261681833627,0.4399764908388142,0.19696193052611
window_size,default_2pct,lof,0.728746914034398,0.2894788346576382,0.7651656896998954,0.374511342055323,0.7449550280477234,0.4255069770857978,0.21449935067600256
window_size,default_2pct,matrix_profile,0.5252075895990722,0.1434026047442239,0.5965554962473173,0.21122649584934675,0.5626064043205411,0.27915949012814223,0.14261829860818878
window_size,default_2pct,rolling_zscore,0.4622690422064703,0.07501729666298412,0.5771231296106292,0.10831006110656062,0.4264410517794635,0.12731284385686464,0.09854354189398384
window_size,large_5pct,ik_density,0.5668069272881178,0.17829044600159158,0.577868650420413,0.2120082145251786,0.5777774314347143,0.24675230601011022,4.696567538155553
window_size,large_5pct,isolation_forest,0.7061590467513308,0.2745086059031235,0.6825127388867572,0.3198194325881642,0.6963076933090617,0.35807863341101814,0.3645787463756278
window_size,large_5pct,knn,0.7651432645477617,0.25782440240737486,0.7620299413365058,0.3123636215511241,0.7731692314003347,0.36803008422229505,0.8406354478793219
window_size,large_5pct,lof,0.7373494183874593,0.24407679289215847,0.748411061396688,0.3343194237960696,0.7482526472284015,0.36483082811469303,0.8791698231749857
window_size,large_5pct,matrix_profile,0.6795679065877325,0.2043356279134857,0.6676504013744244,0.22883818553566804,0.6731779523301485,0.2804087879037349,0.1662754375720396
window_size,large_5pct,rolling_zscore,0.4972661981481765,0.09303081714456972,0.6057007429657854,0.11350884586372528,0.45332985766020917,0.12931458015217898,0.10706410052565234
window_size,small_1pct,ik_density,0.6818806716806566,0.20878719830626194,0.7204000474998945,0.29060906668825287,0.680956141544537,0.3559426498569535,2.409667440922931
window_size,small_1pct,isolation_forest,0.7020501323911755,0.2910327168020082,0.7139914771507891,0.32828164675992627,0.6943447084247181,0.372508936054366,0.2457861145182202
window_size,small_1pct,knn,0.7123078707084884,0.2777271219078045,0.7482299119608847,0.348695139765345,0.7267523000728947,0.4165711212218122,0.19287335418630389
window_size,small_1pct,lof,0.7286937850201509,0.2939592171468295,0.767038233032515,0.372254988277205,0.7382522221316424,0.4179492794195013,0.20556652425633118
window_size,small_1pct,matrix_profile,0.5610485859435096,0.16780418221449742,0.626058710572304,0.23779832845577129,0.5892705976569994,0.30065211355159777,1.0240554827032613
window_size,small_1pct,rolling_zscore,0.471194389101317,0.07509197788570462,0.5855305472110696,0.11015946062168241,0.43237996478113067,0.12923299601790667,0.10830180917400863
