series_id,name,source,path,length,anomaly_ratio,anomaly_segments,mean_anomaly_duration,max_anomaly_duration,seasonality_proxy,noise_proxy,algorithm,runtime_sec,window,normalize,vus_window,vus_thresholds,score_file,auroc,auprc,vus_roc,vus_pr,vus_roc_approx,vus_pr_approx,best_f1,contamination_f1,ablation,ablation_value
CreditCard/processed_phpKo8OWT_col_1__crop_135107_147107,processed_phpKo8OWT_col_1__crop_135107_147107,CreditCard,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/CreditCard/processed_phpKo8OWT_col_1.csv,12000,0.00175,15,1.4,4,0.03297048004504822,0.9857994848524178,ik_density,7.622827958781272,128,True,100,250,processed_phpKo8OWT_col_1__crop_135107_147107_scores.csv,0.6451707154186493,0.003033507821304679,0.6373005857021159,0.059654567603854,0.5980631601862433,0.13249076406858548,0.008113590263691685,0.0,window_size,128
CreditCard/processed_phpKo8OWT_col_1__crop_135107_147107,processed_phpKo8OWT_col_1__crop_135107_147107,CreditCard,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/CreditCard/processed_phpKo8OWT_col_1.csv,12000,0.00175,15,1.4,4,0.03297048004504822,0.9857994848524178,matrix_profile,0.4596619582735002,128,True,100,250,processed_phpKo8OWT_col_1__crop_135107_147107_scores.csv,0.6162788848739262,0.0031496603819442873,0.6314472555758156,0.061943124620821646,0.5726154503083237,0.13742322706684076,0.010767160161507403,0.0,window_size,128
CreditCard/processed_phpKo8OWT_col_1__crop_135107_147107,processed_phpKo8OWT_col_1__crop_135107_147107,CreditCard,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/CreditCard/processed_phpKo8OWT_col_1.csv,12000,0.00175,15,1.4,4,0.03297048004504822,0.9857994848524178,rolling_zscore,0.391397834289819,600,True,100,250,processed_phpKo8OWT_col_1__crop_135107_147107_scores.csv,0.8552387312717891,0.007985985680963738,0.9564792481335391,0.05668050857796773,0.5190056497329911,0.11068644493762829,0.02481389578163772,0.0,window_size,600
CreditCard/processed_phpKo8OWT_col_1__crop_135107_147107,processed_phpKo8OWT_col_1__crop_135107_147107,CreditCard,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/CreditCard/processed_phpKo8OWT_col_1.csv,12000,0.00175,15,1.4,4,0.03297048004504822,0.9857994848524178,knn,2.412465250119567,600,True,100,250,processed_phpKo8OWT_col_1__crop_135107_147107_scores.csv,0.6622700837576871,0.002679143433009255,0.6911705453517987,0.07498093889079142,0.6926447383825788,0.16216757904203943,0.00697084917617237,0.0,window_size,600
CreditCard/processed_phpKo8OWT_col_1__crop_135107_147107,processed_phpKo8OWT_col_1__crop_135107_147107,CreditCard,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/CreditCard/processed_phpKo8OWT_col_1.csv,12000,0.00175,15,1.4,4,0.03297048004504822,0.9857994848524178,lof,2.5548542919568717,600,True,100,250,processed_phpKo8OWT_col_1__crop_135107_147107_scores.csv,0.6671695308058945,0.0027352732790926477,0.6866908083295046,0.07255873966620485,0.6869274975692014,0.1612379227789174,0.007255936675461742,0.0,window_size,600
CreditCard/processed_phpKo8OWT_col_1__crop_135107_147107,processed_phpKo8OWT_col_1__crop_135107_147107,CreditCard,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/CreditCard/processed_phpKo8OWT_col_1.csv,12000,0.00175,15,1.4,4,0.03297048004504822,0.9857994848524178,isolation_forest,0.958605875261128,600,True,100,250,processed_phpKo8OWT_col_1__crop_135107_147107_scores.csv,0.6245214840256161,0.0038872898301811694,0.6361524230535058,0.08196607422574884,0.6364856170402368,0.18112173218253744,0.01610305958132045,0.0,window_size,600
CreditCard/processed_phpKo8OWT_col_1__crop_135107_147107,processed_phpKo8OWT_col_1__crop_135107_147107,CreditCard,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/CreditCard/processed_phpKo8OWT_col_1.csv,12000,0.00175,15,1.4,4,0.03297048004504822,0.9857994848524178,ik_density,13.670252624899149,600,True,100,250,processed_phpKo8OWT_col_1__crop_135107_147107_scores.csv,0.633714158507547,0.002378799996493765,0.6631577824336733,0.0678669590987056,0.6625570864586641,0.1500801098691176,0.006222367774684787,0.0,window_size,600
CreditCard/processed_phpKo8OWT_col_1__crop_135107_147107,processed_phpKo8OWT_col_1__crop_135107_147107,CreditCard,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/CreditCard/processed_phpKo8OWT_col_1.csv,12000,0.00175,15,1.4,4,0.03297048004504822,0.9857994848524178,matrix_profile,0.4043354168534279,600,True,100,250,processed_phpKo8OWT_col_1__crop_135107_147107_scores.csv,0.3733458154945758,0.0014955329326464754,0.4157954422511592,0.04404964384445018,0.3903512488875873,0.09798564237247666,0.0036678019386953108,0.0,window_size,600
CreditCard/processed_phpKo8OWT_col_1__crop_135107_147107,processed_phpKo8OWT_col_1__crop_135107_147107,CreditCard,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/CreditCard/processed_phpKo8OWT_col_1.csv,12000,0.00175,15,1.4,4,0.03297048004504822,0.9857994848524178,rolling_zscore,0.35822249995544553,128,False,100,250,processed_phpKo8OWT_col_1__crop_135107_147107_scores.csv,0.8421682388624537,0.00685886955079879,0.9582082042259996,0.0579519339649662,0.5244939686990281,0.1116779412299291,0.022900763358778626,0.0,normalization,raw
CreditCard/processed_phpKo8OWT_col_1__crop_135107_147107,processed_phpKo8OWT_col_1__crop_135107_147107,CreditCard,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/CreditCard/processed_phpKo8OWT_col_1.csv,12000,0.00175,15,1.4,4,0.03297048004504822,0.9857994848524178,knn,0.8445538752712309,128,False,100,250,processed_phpKo8OWT_col_1__crop_135107_147107_scores.csv,0.6478400693276727,0.0030320532831142645,0.6494945840209916,0.06603585614563748,0.6155529763896023,0.14296910637510607,0.008658008658008658,0.0,normalization,raw
