name,source,path,length,anomaly_ratio,anomaly_segments,mean_anomaly_duration,max_anomaly_duration,seasonality_proxy,noise_proxy,algorithm,runtime_sec,window,normalize,auroc,auprc,vus_roc_approx,vus_pr_approx,best_f1,contamination_f1
101-freeway-traffic__crop_22699_27699,Dodgers,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Dodgers/101-freeway-traffic.csv,5000,0.2548,38,33.526315789473685,293,0.8328016996007697,3.0,lof,0.06456533307209611,100,True,0.7772562821734664,0.755266611472578,0.8306930037960981,0.868002949889652,0.7121212121212122,0.6703296703296703
101-freeway-traffic__crop_22699_27699,Dodgers,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Dodgers/101-freeway-traffic.csv,5000,0.2548,38,33.526315789473685,293,0.8328016996007697,3.0,isolation_forest,0.19784195814281702,100,True,0.41499726981093443,0.2686634635686602,0.5847298513482224,0.6435103329216647,0.4061204972904049,0.3649921507064364
101-freeway-traffic__crop_22699_27699,Dodgers,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Dodgers/101-freeway-traffic.csv,5000,0.2548,38,33.526315789473685,293,0.8328016996007697,3.0,ik_density,0.13078083284199238,100,True,0.3840172077749717,0.25236217566245633,0.49917686846966836,0.5554923597698908,0.4061204972904049,0.24175824175824176
101-freeway-traffic__crop_22699_27699,Dodgers,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Dodgers/101-freeway-traffic.csv,5000,0.2548,38,33.526315789473685,293,0.8328016996007697,3.0,matrix_profile,0.05176799977198243,100,True,0.21528636228429188,0.16721400321466878,0.3496324875053798,0.3755950003363494,0.4061204972904049,0.06985871271585557
processed_1_gecco2018_water_quality_col_2__crop_71284_76284,GECCO,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/GECCO/processed_1_gecco2018_water_quality_col_2.csv,5000,0.0368,8,23.0,23,0.956976900219574,0.0,rolling_zscore,0.04383937502279878,100,True,0.9762837642640474,0.4506648873930291,0.5807787632173607,0.2922401153827324,0.6176470588235294,0.5271739130434783
processed_1_gecco2018_water_quality_col_2__crop_71284_76284,GECCO,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/GECCO/processed_1_gecco2018_water_quality_col_2.csv,5000,0.0368,8,23.0,23,0.956976900219574,0.0,knn,0.05275612510740757,100,True,0.9074958471760797,0.1848718704345067,0.9632652439557343,0.7318334177938477,0.2898289828982898,0.25
processed_1_gecco2018_water_quality_col_2__crop_71284_76284,GECCO,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/GECCO/processed_1_gecco2018_water_quality_col_2.csv,5000,0.0368,8,23.0,23,0.956976900219574,0.0,lof,0.07441379129886627,100,True,0.5559265762675141,0.049026108078585345,0.8297626283046101,0.5120662847856619,0.10561056105610563,0.07608695652173914
processed_1_gecco2018_water_quality_col_2__crop_71284_76284,GECCO,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/GECCO/processed_1_gecco2018_water_quality_col_2.csv,5000,0.0368,8,23.0,23,0.956976900219574,0.0,isolation_forest,0.18766724970191717,100,True,0.8534961586378738,0.1236394802748801,0.9024595111054629,0.5297952615314601,0.22136669874879691,0.059782608695652176
processed_1_gecco2018_water_quality_col_2__crop_71284_76284,GECCO,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/GECCO/processed_1_gecco2018_water_quality_col_2.csv,5000,0.0368,8,23.0,23,0.956976900219574,0.0,ik_density,0.1318775829859078,100,True,0.8840295708146757,0.17447546240387776,0.9244158762564598,0.6627683319497862,0.2864768683274021,0.125
processed_1_gecco2018_water_quality_col_2__crop_71284_76284,GECCO,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/GECCO/processed_1_gecco2018_water_quality_col_2.csv,5000,0.0368,8,23.0,23,0.956976900219574,0.0,matrix_profile,0.05065766675397754,100,True,0.20916634316770186,0.021923964662775446,0.44512055254708116,0.21228918458632431,0.07135931743261585,0.0
