series_id,name,source,path,length,anomaly_ratio,anomaly_segments,mean_anomaly_duration,max_anomaly_duration,seasonality_proxy,noise_proxy,algorithm,runtime_sec,window,normalize,vus_window,vus_thresholds,score_file,auroc,auprc,vus_roc,vus_pr,vus_roc_approx,vus_pr_approx,best_f1,contamination_f1
Daphnet/processed_S01R01_col_3__crop_95999_115999,processed_S01R01_col_3__crop_95999_115999,Daphnet,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Daphnet/processed_S01R01_col_3.csv,20000,0.0321,3,214.0,454,0.625696222719249,72.0,ik_density,10.217921459116042,128,True,100,250,processed_S01R01_col_3__crop_95999_115999_scores.csv,0.32331948216889894,0.02438085607431277,0.34805339400356305,0.02997652591261677,0.3349859632895786,0.03464383931900512,0.06418395401149712,0.0
Daphnet/processed_S01R01_col_3__crop_95999_115999,processed_S01R01_col_3__crop_95999_115999,Daphnet,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Daphnet/processed_S01R01_col_3.csv,20000,0.0321,3,214.0,454,0.625696222719249,72.0,matrix_profile,1.3327934578992426,128,True,100,250,processed_S01R01_col_3__crop_95999_115999_scores.csv,0.7292681927891549,0.060438647244749746,0.7493300060589625,0.07593237163562114,0.7389954008154499,0.08820965061151384,0.1575139756658994,0.0
Dodgers/101-freeway-traffic__crop_15199_35199,101-freeway-traffic__crop_15199_35199,Dodgers,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Dodgers/101-freeway-traffic.csv,20000,0.1156,64,36.125,293,0.8483381567450045,4.0,rolling_zscore,0.4854905419051647,128,True,100,250,101-freeway-traffic__crop_15199_35199_scores.csv,0.3332768834147914,0.08648773930776094,0.5704496142301292,0.20006233972725582,0.42441528502746007,0.28314493065152596,0.2072427393330943,0.06098615916955017
Dodgers/101-freeway-traffic__crop_15199_35199,101-freeway-traffic__crop_15199_35199,Dodgers,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Dodgers/101-freeway-traffic.csv,20000,0.1156,64,36.125,293,0.8483381567450045,4.0,knn,1.6735080000944436,128,True,100,250,101-freeway-traffic__crop_15199_35199_scores.csv,0.5920056033727243,0.19296648707914252,0.7432630060478215,0.3949755519438645,0.7263786846569747,0.5673481376026632,0.2922672014036847,0.2166955017301038
Dodgers/101-freeway-traffic__crop_15199_35199,101-freeway-traffic__crop_15199_35199,Dodgers,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Dodgers/101-freeway-traffic.csv,20000,0.1156,64,36.125,293,0.8483381567450045,4.0,lof,2.104210332967341,128,True,100,250,101-freeway-traffic__crop_15199_35199_scores.csv,0.8023595185639902,0.6404752973877604,0.7926122560901988,0.520237846074401,0.7823143062717202,0.6942740083726695,0.653726708074534,0.5826124567474048
Dodgers/101-freeway-traffic__crop_15199_35199,101-freeway-traffic__crop_15199_35199,Dodgers,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Dodgers/101-freeway-traffic.csv,20000,0.1156,64,36.125,293,0.8483381567450045,4.0,isolation_forest,0.8636902919970453,128,True,100,250,101-freeway-traffic__crop_15199_35199_scores.csv,0.7028355122977438,0.2689912341232896,0.7023529704240863,0.3800573230929513,0.7409129347493006,0.5632597679588185,0.33125671321160044,0.32006920415224915
Dodgers/101-freeway-traffic__crop_15199_35199,101-freeway-traffic__crop_15199_35199,Dodgers,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Dodgers/101-freeway-traffic.csv,20000,0.1156,64,36.125,293,0.8483381567450045,4.0,ik_density,11.353013916872442,128,True,100,250,101-freeway-traffic__crop_15199_35199_scores.csv,0.6005773835094738,0.15968781394106962,0.6239305366626963,0.2840670767410605,0.6393850838698367,0.44319880289667324,0.24956741647810463,0.19506920415224913
Dodgers/101-freeway-traffic__crop_15199_35199,101-freeway-traffic__crop_15199_35199,Dodgers,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Dodgers/101-freeway-traffic.csv,20000,0.1156,64,36.125,293,0.8483381567450045,4.0,matrix_profile,1.2653489173389971,128,True,100,250,101-freeway-traffic__crop_15199_35199_scores.csv,0.3834436582618521,0.08934251575515849,0.51829410491841,0.17132958268623472,0.4507083993225998,0.2590113527733584,0.2072427393330943,0.0791522491349481
Exathlon/10_3_1000000_75.test_col_0__crop_18719_38719,10_3_1000000_75.test_col_0__crop_18719_38719,Exathlon,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Exathlon/10_3_1000000_75.test_col_0.csv,20000,0.09705,2,970.5,971,0.984721984456988,3.0,rolling_zscore,0.42882954189553857,128,True,100,250,10_3_1000000_75.test_col_0__crop_18719_38719_scores.csv,0.08696981235499794,0.0744060038094354,0.10296561392909014,0.07549659895874491,0.11382590119275711,0.07860627931014766,0.17692903696276377,0.009788768675940238
Exathlon/10_3_1000000_75.test_col_0__crop_18719_38719,10_3_1000000_75.test_col_0__crop_18719_38719,Exathlon,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Exathlon/10_3_1000000_75.test_col_0.csv,20000,0.09705,2,970.5,971,0.984721984456988,3.0,knn,1.781186459120363,128,True,100,250,10_3_1000000_75.test_col_0__crop_18719_38719_scores.csv,0.2826711683688125,0.17226764417082702,0.32128344211782056,0.2247245458909589,0.34893096979692245,0.30253603638677673,0.36633321835115557,0.2746007212776919
Exathlon/10_3_1000000_75.test_col_0__crop_18719_38719,10_3_1000000_75.test_col_0__crop_18719_38719,Exathlon,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Exathlon/10_3_1000000_75.test_col_0.csv,20000,0.09705,2,970.5,971,0.984721984456988,3.0,lof,1.8777945418842137,128,True,100,250,10_3_1000000_75.test_col_0__crop_18719_38719_scores.csv,0.4087190424174651,0.435428549209791,0.4440093089027346,0.4630118757869095,0.4619395317541789,0.4924913110688404,0.49220489977728277,0.3956723338485317
