algorithm,config_id,auroc,auprc,vus_roc,vus_pr,vus_roc_approx,vus_pr_approx,runtime_sec,average_config_rank,n
ik_density,"n=200,max_samples=8",0.7834921391878922,0.30238668470071,0.7880254949579344,0.38638393859847686,0.7783873266686215,0.46643436888482953,6.2164490551998215,2.7083333333333335,12
ik_density,"n=100,max_samples=8",0.7713712051618086,0.30011391544997906,0.7750781218452266,0.38561011727041844,0.767236718573209,0.46637701829164696,2.9839361978617185,3.125,12
ik_density,"n=200,max_samples=16",0.7943167524144888,0.30595969732898287,0.797156567288515,0.36903756703471086,0.7877156806182636,0.44693418796372114,6.517967420164496,3.25,12
ik_density,"n=100,max_samples=16",0.7780707232885179,0.2684917616138789,0.7875633302896573,0.32681032616215805,0.7743799789221719,0.39869469625974885,2.809700604256553,3.3333333333333335,12
ik_density,"n=200,max_samples=32",0.7476261972762172,0.275741836664333,0.7534052477046731,0.3456907363703758,0.746317941302297,0.42822500202912656,7.620422624866478,3.9166666666666665,12
ik_density,"n=100,max_samples=32",0.71197648296975,0.2662303387596599,0.7295648474565635,0.3225154593865418,0.7249530454979949,0.3996778314216795,3.4351331214420497,4.666666666666667,12
isolation_forest,"n=200,max_samples=256",0.8281395779525343,0.350635424857878,0.8370355971033295,0.4285759224207239,0.8241044255388701,0.510529766137232,0.7114190453818688,3.25,12
isolation_forest,"n=200,max_samples=auto",0.8281395779525343,0.350635424857878,0.8370355971033295,0.4285759224207239,0.8241044255388701,0.510529766137232,0.707352118139776,3.25,12
isolation_forest,"n=200,max_samples=512",0.8085660453545258,0.3217158781747158,0.8169710328963463,0.41064244126068195,0.8057647788460747,0.5032818257509853,0.8358573504568388,3.25,12
isolation_forest,"n=100,max_samples=256",0.833835658184611,0.35470554217703243,0.8451460466866201,0.4342756355978457,0.8297770563304274,0.5190087669099098,0.35039925687791157,3.3333333333333335,12
isolation_forest,"n=100,max_samples=auto",0.833835658184611,0.35470554217703243,0.8451460466866201,0.4342756355978457,0.8297770563304274,0.5190087669099098,0.39295822572118294,3.3333333333333335,12
isolation_forest,"n=100,max_samples=512",0.7921903609577742,0.32071436842889683,0.8050640535143234,0.422103920510741,0.7945210432520735,0.5287646929245056,0.37594606234536815,4.583333333333333,12
knn,k=5,0.7776804995494403,0.305490900019668,0.8129593354179198,0.3843938534946996,0.7853154318409162,0.4554319481941289,0.5768904651437575,2.2916666666666665,12
knn,k=10,0.7776909030662073,0.3189154853090509,0.8130645704072016,0.41251461170225917,0.7881905443094434,0.4876702196865628,0.5866530069615692,2.375,12
knn,k=3,0.7619556096751646,0.30570273704661455,0.8003690658893596,0.39128524653452135,0.7746820307404653,0.4667690449084385,0.612459527871882,2.4583333333333335,12
knn,k=20,0.7539478011738012,0.29123502301510856,0.788162218557118,0.3806089112257692,0.7738533124413743,0.46924188492629515,0.6006741736394664,2.875,12
lof,k=20,0.7027719010472575,0.24561747526758068,0.7379495654053225,0.29234425865300645,0.7267212260709407,0.3614896638857681,0.6152056284093609,2.0833333333333335,12
lof,k=10,0.7156727521464893,0.2745178562714867,0.7605603589953729,0.33853951619363726,0.7375720177519124,0.40124883966640884,0.5831573331185306,2.3333333333333335,12
lof,k=35,0.6816651816022518,0.2661496776413332,0.7131629958771036,0.3078230758059222,0.703465135590819,0.3814737028619514,0.6520529965637252,2.625,12
lof,k=50,0.6720317378913183,0.2443730861492853,0.7032391121109994,0.2933484414009993,0.6921046242584207,0.3637825485552386,0.6846395520260558,2.9583333333333335,12
