algorithm,config_id,auroc,auprc,vus_roc,vus_pr,vus_roc_approx,vus_pr_approx,runtime_sec,average_config_rank,n
lof,k=10,0.7291334718775571,0.30230131218204853,0.7818869614970021,0.4038796191807322,0.7425163064342398,0.4502353237445245,0.21047020835491514,2.8333333333333335,12
knn,k=10,0.7348016636063414,0.29519219004297104,0.7669312519697025,0.37967619186131824,0.7502472140607637,0.4461206008034815,0.2100707152082274,2.25,12
isolation_forest,"n=200,max_samples=512",0.7160402438888939,0.29486261310858125,0.7252717330006005,0.3452019572711605,0.7104539806581078,0.3996329303039967,0.2317937116992349,3.4166666666666665,12
ik_density,"n=200,max_samples=16",0.6895473019191054,0.24328120973954195,0.7151705544516426,0.32650684092843024,0.6817903606031616,0.393101978593917,2.4948132602730766,3.4166666666666665,12
